"","B18","B19","EP","FP","JP","LJ","NI","SH","SR","SS","SP","TI","WR","WW","WB"
"1797",2.095,2.095,2.095,1.72,1.245,2.095,1.593,1.593,1.328,1.72,1.593,1.787,1.245,1.245,1.593
"1798",-3.465,-3.465,-3.465,-2.852,-2.364,-3.465,-2.221,-2.221,-2.591,-2.852,-2.221,-2.729,-2.364,-2.364,-2.221
"1799",0.871,0.871,0.871,0.917,0.978,0.871,0.543,0.543,1.165,0.917,0.543,0.945,0.978,0.978,0.543
"1800",2.852,2.852,2.852,2.846,2.895,2.852,1.607,1.607,3.393,2.846,1.607,1.098,2.895,2.895,1.607
"1801",-1.915,-1.915,-1.915,-1.727,-1.75,-1.915,-1.097,-1.097,-2.001,-1.727,-1.097,-1.232,-1.75,-1.75,-1.097
"1802",1.021,1.021,1.021,0.942,0.842,1.021,0.739,0.739,0.949,0.942,0.739,1.183,0.842,0.842,0.739
"1803",3.349,3.349,3.349,2.783,2.533,3.349,1.839,1.839,3.057,2.783,1.839,1.762,2.533,2.533,1.839
"1804",-0.274,-0.274,-0.274,-0.05,0.374,-0.274,-0.449,-0.449,0.711,-0.05,-0.449,-0.874,0.374,0.374,-0.449
"1805",-3.797,-3.797,-3.797,-3.151,-2.683,-3.797,-2.427,-2.427,-2.939,-3.151,-2.427,-2.802,-2.683,-2.683,-2.427
"1806",-1.223,-1.223,-1.223,-1.374,-1.67,-1.223,-0.874,-0.874,-1.775,-1.374,-0.874,-1.376,-1.67,-1.67,-0.874
"1807",-1.141,-1.141,-1.141,-0.717,-0.297,-1.141,-0.965,-0.965,-0.092,-0.717,-0.965,-1.406,-0.297,-0.297,-0.965
"1808",0.276,0.276,0.276,0.325,0.338,0.276,0.001,0.001,0.454,0.325,0.001,-0.42,0.338,0.338,0.001
"1809",-3.701,-3.701,-3.701,-3.213,-2.893,-3.701,-2.342,-2.342,-3.238,-3.213,-2.342,-2.44,-2.893,-2.893,-2.342
"1810",-0.747,-0.747,-0.747,-0.649,-0.583,-0.747,-0.475,-0.475,-0.661,-0.649,-0.475,-0.239,-0.583,-0.583,-0.475
"1811",1.028,1.028,1.028,0.797,0.457,1.028,1.027,1.027,0.173,0.797,1.027,1.863,0.457,0.457,1.027
"1812",1.035,1.035,1.035,0.942,0.804,1.035,0.874,0.874,0.748,0.942,0.874,1.292,0.804,0.804,0.874
"1813",0.143,0.143,0.143,0.147,0.291,0.143,-0.097,-0.097,0.571,0.147,-0.097,-0.243,0.291,0.291,-0.097
"1814",0.356,0.356,0.356,0.361,0.472,0.356,-0.016,-0.016,0.746,0.361,-0.016,-0.17,0.472,0.472,-0.016
"1815",1.155,1.155,1.155,1.209,1.413,1.155,0.544,0.544,1.751,1.209,0.544,0.614,1.413,1.413,0.544
"1816",2.958,2.958,2.958,2.933,3.096,2.958,1.802,1.802,3.448,2.933,1.802,2.061,3.096,3.096,1.802
"1817",1.358,1.358,1.358,1.453,1.571,1.358,0.85,0.85,1.749,1.453,0.85,0.789,1.571,1.571,0.85
"1818",-2.548,-2.548,-2.548,-2.724,-3.121,-2.548,-1.416,-1.416,-3.551,-2.724,-1.416,-1.365,-3.121,-3.121,-1.416
"1819",-1.706,-1.706,-1.706,-1.81,-2.083,-1.706,-0.912,-0.912,-2.456,-1.81,-0.912,-0.804,-2.083,-2.083,-0.912
"1820",-3.501,-3.501,-3.501,-2.999,-2.731,-3.501,-2.133,-2.133,-3.24,-2.999,-2.133,-2.155,-2.731,-2.731,-2.133
"1821",-0.538,-0.538,-0.538,-0.429,-0.369,-0.538,-0.209,-0.209,-0.724,-0.429,-0.209,0.106,-0.369,-0.369,-0.209
"1822",-0.048,-0.048,-0.048,-0.312,-0.613,-0.048,-0.021,-0.021,-0.785,-0.312,-0.021,-0.154,-0.613,-0.613,-0.021
"1823",0.053,0.053,0.053,0.069,0.014,0.053,0.055,0.055,-0.001,0.069,0.055,-0.39,0.014,0.014,0.055
"1824",-5.445,-5.445,-5.445,-4.533,-3.816,-5.445,-3.606,-3.606,-4.088,-4.533,-3.606,-4.306,-3.816,-3.816,-3.606
"1825",0.384,0.384,0.384,0.595,0.882,0.384,-0.128,-0.128,1.311,0.595,-0.128,-0.558,0.882,0.882,-0.128
"1826",1.288,1.288,1.288,1.269,1.259,1.288,0.748,0.748,1.489,1.269,0.748,0.779,1.259,1.259,0.748
"1827",1.799,1.799,1.799,1.645,1.58,1.799,1.053,1.053,1.911,1.645,1.053,1.146,1.58,1.58,1.053
"1828",5.29,5.29,5.29,4.77,4.492,5.29,3.254,3.254,5.162,4.77,3.254,3.61,4.492,4.492,3.254
"1829",1.446,1.446,1.446,1.266,1.271,1.446,0.694,0.694,1.702,1.266,0.694,0.394,1.271,1.271,0.694
"1830",0.755,0.755,0.755,0.621,0.647,0.755,0.277,0.277,0.875,0.621,0.277,0.182,0.647,0.647,0.277
"1831",0.671,0.671,0.671,0.937,1.323,0.671,0.269,0.269,1.581,0.937,0.269,0.202,1.323,1.323,0.269
"1832",2.175,2.175,2.175,2.112,2.079,2.175,1.401,1.401,2.381,2.112,1.401,1.741,2.079,2.079,1.401
"1833",2.658,2.658,2.658,2.391,2.336,2.658,1.607,1.607,2.743,2.391,1.607,1.766,2.336,2.336,1.607
"1834",-0.957,-0.957,-0.957,-0.997,-0.796,-0.957,-0.851,-0.851,-0.693,-0.997,-0.851,-0.826,-0.796,-0.796,-0.851
"1835",1.936,1.936,1.936,2.019,2.361,1.936,0.946,0.946,2.879,2.019,0.946,1.077,2.361,2.361,0.946
"1836",3.163,3.163,3.163,2.508,2.147,3.163,1.698,1.698,2.933,2.508,1.698,1.725,2.147,2.147,1.698
